Headline,Link,Summary,Scraped_Date,Classified
"Katti, 42: ”Jag blevhånad och utskrattad”",https://www.aftonbladet.se/minekonomi/a/25EkQy/katti-42-ville-ga-ner-i-vikt-blev-palurad-pillerprenumeration,Ville gå ner i vikt – blev pålurad prenumeration,2025-10-17,True
Bubbelvarnar: Kan vända tvärt,https://www.aftonbladet.se/minekonomi/a/93yezr/oro-vaxer-for-ai-bubbla-kan-vanda-tvart,Oro över Wall Street-rekord och AI-affärer,2025-10-17,True
Inflationen sjunker – så lär styrräntan påverkas,https://www.aftonbladet.se/minekonomi/a/93ybqd/inflationen-sjunker,”Ribban är hög”,2025-10-17,True
Tog studenten – sedan rasade allt: ”Få som vet”,https://www.aftonbladet.se/minekonomi/a/lwqB9L/linus-25-skuldsatte-sig-direkt-efter-studenten,"Linus, 25, är en av tusentals unga",2025-10-17,True
Raseriet efter bankens drag: ”Det är grisigt”,https://www.aftonbladet.se/minekonomi/a/KMd5bG/christoffer-far-sankt-ranta-av-lansforsakringar-nasta-ar,"Christoffer, 35, får sänkt ränta – nästa år",2025-10-17,True
Så tjänar banker på din bekostnad,https://www.aftonbladet.se/minekonomi/a/dR6K2B/svart-pa-vitt-sa-mjolkar-bankerna-dig,ANDREAS CERVENKAHåller inte i längden,2025-10-17,True
Aktien rasar – efter Eks avhopp,https://www.aftonbladet.se/minekonomi/a/8qe0BA/daniel-ek-lamnar-vd-posten-pa-spotify,Miljarder ”ser ut att gå upp i rök”checkVapenkritik,2025-10-17,True
Efter räntebeskedet: Så LITE har din bank sänkt,https://www.aftonbladet.se/minekonomi/a/OowKXq/sa-agerar-bankerna-en-vecka-efter-rantebeskedet,Ingen matchar RiksbankencheckLISTA,2025-10-17,True
Akut elbrist hotar i vinter – finns ingen reservkraft,https://www.aftonbladet.se/minekonomi/a/zAdObw/ingen-elreserv-i-vinter-stromavbrott-hotar,Upphandlingen avbröts av Svenska kraftnät,2025-10-17,True
”Ska minska riskerna för kärnkraftsinvesterare”,https://www.aftonbladet.se/minekonomi/a/KMd0z5/karnkraftsagare-ska-fa-ersattning-vid-nedlaggning,Ägare ska få ersättning vid nedläggning,2025-10-17,True
Jobba deltid efter 60 – så hjälper nya premien,https://www.aftonbladet.se/minekonomi/pension/a/eMbEwg/deltid-eller-mer-pengar-premien-helt-avgorande,abplusRUNDKVISTGruppen som drar nitlotten,2025-10-17,True
Kina ändrar från 7 till 12 –så drabbas du: ”Läskigt”,https://www.aftonbladet.se/minekonomi/a/Ey3meG/varnar-efter-jattens-drag-hotar-hela-varldsekonomin,abplusVarnar efter draget: Hot mot världsekonomin,2025-10-17,True
Så undviker du bråk ompengar med din partner,https://www.aftonbladet.se/minekonomi/a/Oowom1/5-tips-sa-undviker-du-brak-om-pengar-med-din-partner,abplusExperternas 5 bästa tipscheck”Viktigt”,2025-10-17,True
Är viktiga siffran under200 – då ska du avstå,https://www.aftonbladet.se/minekonomi/bostad/a/3MW5lv/viktiga-siffran-nar-du-ska-kopa-bostadsratt,abplus4 varningstecken inför bostadsrättsköpet,2025-10-17,True
Så får du loss pengar ur din villa – utan att sälja,https://www.aftonbladet.se/minekonomi/a/yEQm12/sa-far-du-loss-pengar-ur-villan-utan-att-salja,abplusTre alternativ för dig som vill bo kvar,2025-10-17,True
LISTA:Bristjobben med över 41 000 kronor i lön,https://www.aftonbladet.se/minekonomi/a/mPOaEp/bristjobben-dar-du-tjanar-over-41-000-kronor-i-manaden,abplusHär är behovet som störstcheckNy statistik,2025-10-17,True
Undvik en arvstvist med superenkla justeringen,https://www.aftonbladet.se/minekonomi/a/mPApLE/slipp-en-arvstvist-med-superenkla-justeringen-i-testamentet,abplusExpertens tips när du skriver testamente,2025-10-17,True
Röda siffror – här rasar bostadsrätterna i värde,https://www.aftonbladet.se/minekonomi/bostad/a/vg0MPp/sa-har-bostadsrattspriserna-utvecklats-i-din-kommun,abplusNy rapport: Backat 25 procent på fyra år,2025-10-17,True
Tolka termerna rätt och bli en pensionsvinnare,https://www.aftonbladet.se/minekonomi/pension/a/XjPW2x/orden-om-pensionen-i-pensionsutskicken-sa-tolkar-du-termerna,abplusRUNDKVISTSom enà la carte-meny,2025-10-17,True
7 tips: Så boostar du din pension i sista minuten,https://www.aftonbladet.se/minekonomi/pension/a/25E5jr/sa-boostar-du-pensionen-i-sista-minuten,abplusRUNDKVISTGer en märkbar effekt,2025-10-17,True
LISTA:Här kan hyran höjas – med 94 procent,https://www.aftonbladet.se/minekonomi/bostad/a/gw5lok/lista-sa-dyrt-skulle-ditt-boende-bli-om-marknadshyror-infors,abplusSå påverkasduom marknadshyror införs,2025-10-17,True
DÅ får du ersättning om flygbolaget går i konkurs,https://www.aftonbladet.se/minekonomi/a/4BywzG/det-har-du-ratt-till-nar-flygbolaget-gar-i-konkurs,abplusDet här gällercheckViktiga checklistan,2025-10-17,True
