Headline,Link,Summary,Scraped_Date,Classified
Dutch government takes control of China-owned chip firm,https://www.bbc.com/news/articles/ckgk21nng0vo,"The move, which is aimed to protect supplies of technology, could raise tensions between the EU and China.",2025-10-13,True
"'Painful' job cuts to come if shutdown drags on, warns Vance",https://www.bbc.com/news/articles/cp3d554053lo,Hundreds of thousands of federal employees are already on leave without pay as the impasse approaches its third week.,2025-10-13,True
Sign up to World of Business,https://cloud.email.bbc.com/WorldofBusiness_Newsletter_Signup?&at_bbc_team=studios&at_medium=emails&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.com&at_format=Module&at_link_origin=homepage&at_campaign=wob&at_campaign_type=owned,"Gain the leading edge with global insights for the boardroom and beyond, in your inbox every Wednesday.",2025-10-13,True
China accuses US of 'double standards' over tariff threat,https://www.bbc.com/news/articles/cn828kg8rmzo,"Beijing says it could introduce ""countermeasures"" if the US President imposes an an additional 100% tariff on Chinese imports.",2025-10-13,True
'We're in limbo': A town in Trump country where shutdown axe looms,https://www.bbc.com/news/articles/c4gk1z818z2o,"As politicians in Washington bicker during the government shutdown,  Martinsburg, West Virginia, worries about what's next.",2025-10-13,True
Paraguay – the Silicon Valley of South America?,https://www.bbc.com/news/articles/c4g92xq8wdlo,"The country hopes to build a big tech sector, fuelled by its vast amount of cheap hydroelectricity.",2025-10-13,True
Carmakers go on trial over emissions cheat claims,https://www.bbc.com/news/articles/cjr5epw8dweo,"The trial is the latest chapter of what has become known as the ""dieselgate"" scandal.",2025-10-13,True
The women taking Meta to task after their baby loss,https://www.bbc.com/news/articles/ce8450380zyo,Several women in the UK say the pain of losing their babies was made worse by targeted advertising.,2025-10-13,True
The indigenous weavers who aim for empowerment over exploitation,https://www.bbc.com/news/articles/c62lnkvmn12o,"The makers of Colombia's popular mochila bags can earn good money, but are at risk of being underpaid.",2025-10-13,True
Cuba's tourism minister insists sector 'alive and kicking' amid crisis,https://www.bbc.com/news/articles/cx2re563gz1o,Visitor numbers to the country have fallen sharply in the face of renewed US sanctions.,2025-10-13,True
Has the clock stopped on Swiss-US trade?,https://www.bbc.com/news/articles/cy4r12pzxgko,No summary,2025-10-13,True
Trump administration starts laying off thousands of workers,https://www.bbc.com/news/articles/c1mxd1g71vxo,"More than 4,000 workers across seven agencies will receive notices that their jobs are being cut, the government disclosed in a court filing.",2025-10-13,True
'It's going to be really bad': Fears over AI bubble bursting grow in Silicon Valley,https://www.bbc.com/news/articles/cz69qy760weo,Some are worried that the rapid rise in the value of AI tech companies may be a bubble waiting to burst.,2025-10-13,True
How hackers forced brewing giant Asahi back to pen and paper,https://www.bbc.com/news/articles/cly64g5y744o,"The maker of Japan's most popular beer, Super Dry, was hit by a major cyber-attack last month.",2025-10-13,True
MIT rejects federal funding deal with Trump administration,https://www.bbc.com/news/articles/c62qp10ln63o,"The deal would see universities cap foreign admissions, restrict protests and adopt a binary definition of gender.",2025-10-13,True
