Headline,Link,Summary,Scraped_Date,Classified
How Lego MRI scanner sets are reducing anxiety in children undergoing medical treatment,https://www.cnbc.com/2025/10/13/lego-mri-scanner-anxiety-sedation-children.html," In September 2023, just two months after his mother fought and won a battle against breast cancer, Sam Lane began to get sick. Sam underwent several rounds of testing, and the now 14-year-old finally received a diagnosis: a rare brain and spine cancer.",2025-10-13T04:01:01+0000,True
JPMorgan Chase will invest $10 billion into industries key to national security,https://www.cnbc.com/2025/10/13/jpmorgan-chase-to-invest-10-billion-into-key-industries-.html, In this article JPMorgan Chaseon Monday said it is launching a decade-long plan to help finance and take direct stakes in companies it considers crucial to U.S. interests.,2025-10-13T10:00:01+0000,True
Airlines tell passengers to prepare for delays as government shutdown continues,https://www.cnbc.com/2025/10/10/government-shutdown-airlines-passengers-delays.html," Travelers should prepare for potential flight disruptions this holiday weekend as the government shutdown continues, a group representing the largest U.S. airlines said Friday. Air traffic controller shortages this week delayed flights at some U.S. airports, including in Burbank, California, and Nashville, Tennessee.",2025-10-10T19:43:14+0000,True
Trump reaches deal with AstraZeneca to lower U.S. drug prices,https://www.cnbc.com/2025/10/10/trump-astrazeneca-drug-pricing-deal.html, In this article The Trump administration andAstraZenecaannounced Friday they have reached an agreement for the U.K.-based pharmaceutical giant to cut drug prices in the U.S.,2025-10-10T18:53:15+0000,True
Spirit Airlines wins approval for $475 million lifeline in bankruptcy court,https://www.cnbc.com/2025/10/10/spirit-airlines-bankruptcy-court-approves-lifeline-financing.html," Spirit Airlines won approval for a $475 million lifeline and a $150 million payment from its biggest aircraft lessor in court on Friday, as the struggling budget airline races to stabilize itself after itssecond bankruptcysince November. U.S. Bankruptcy Court for the Southern District of New York approved the $475 million in debtor-in-possession financing, a lifeline that bankrupt companies can use to continue operating, along with $150 million fromAerCapand the rejection of 27 airplane leases. Spirit said on Friday that $200 million would be immediately available for the carrier.",2025-10-10T20:22:50+0000,True
NBA Commissioner Adam Silver says ‘we’d love to bring a WNBA game’ to China,https://www.cnbc.com/2025/10/10/nba-commissioner-adam-silver-wnba-games-china.html, Sign up today for the newCNBC Sport Newsletter MACAO — NBA Commissioner Adam Silver said Friday the WNBA could be next to play games in China.,2025-10-10T16:27:06+0000,True
More than half of entrepreneurs are considering moving to a new country,https://www.cnbc.com/2025/10/10/entrepreneurs-moving-motivations-hsbc-survey.html," Sign up for the newInside Alts newsletter A version of this article first appeared in CNBC’s Inside Wealth newsletter with Robert Frank, a weekly guide to the high-net-worth investor and consumer.Sign upto receive future editions, straight to your inbox.",2025-10-10T14:00:01+0000,True
Morgan Stanley drops restrictions on which wealth clients can own crypto funds,https://www.cnbc.com/2025/10/10/morgan-stanley-drops-crypto-fund-restrictions-for-wealth-clients.html," In this article Morgan Stanleyon Friday told its financial advisors that the firm was broadening access to crypto investments to all clients and allowing such investments in any type of account, including retirement accounts, CNBC has learned.",2025-10-10T13:15:01+0000,True
"How the world’s 240,000 crypto millionaires are spending their fortunes",https://www.cnbc.com/2025/10/10/how-crypto-millionaires-spend-their-fortunes.html," Sign up for the newInside Alts newsletter A version of this article first appeared in CNBC’s Inside Wealth newsletter with Robert Frank, a weekly guide to the high-net-worth investor and consumer.Sign upto receive future editions, straight to your inbox.",2025-10-10T12:00:01+0000,True
"NBA looks to China for growth, renewing a foothold in its second-largest market",https://www.cnbc.com/2025/10/10/nba-macao-games-kickstart-renewed-growth-in-china.html," Sign up today for the newCNBC Sport Newsletter MACAO — The National Basketball Association returns to China for the first of two Macao games on Friday, and the impact extends beyond the preseason.",2025-10-10T11:30:01+0000,True
"Levi Strauss raises prices, helping to boost profit and outlook",https://www.cnbc.com/2025/10/09/levi-strauss-levi-q3-2025-earnings.html," In this article Levi Strauss’s profits are growing more than Wall Street expected despite higher costs from tariffs, thanks to targeted price increases and a shift away from wholesalers, the company said Thursday as it reported fiscal third quarter results.",2025-10-09T20:26:19+0000,True
Delta says premium travel is set to overtake coach cabin sales next year,https://www.cnbc.com/2025/10/09/delta-premium-travel-set-to-overtake-coach-cabin-sales-2026.html, In this article Delta Air Linescustomers are getting used to first class.,2025-10-09T16:30:29+0000,True
