Headline,Link,Summary,Classified
No headline,https://www.di.se/nyheter/ekonomer-vander-om-usa-motsagelsefull-bild-i-rapport/,Rapport pekar ut viktiga punkter: Svag jobbtillväxt men växande ekonomi,True
Miljardären om köpen i bjässarna: ”Levererar alltid”,https://www.di.se/nyheter/miljardaren-om-kopen-i-borsbjassarna-alltid-en-bra-affar/,Kängan till Wallenbergbolaget • Portföljens trotjänare • Fyndläget i verkstan,True
Experten: Fem faktorer talar för fortsatt börsrally,https://www.di.se/nyheter/experten-fem-faktorer-talar-for-fortsatt-borsrally/,Därför fungerar inte Buffett-indikatorn • Så prickar du nästa topp,True
Trio tilldelas Ekonomipriset för kreativ förstörelse,https://www.di.se/nyheter/trio-tilldelas-ekonomipriset-2025/,Hyllar Sveriges innovation,True
Analys.Då blir det åka av på börsen,https://www.di.se/analys/da-blir-det-aka-av-pa-borsen/,Anna EkelundFyra teman som avgör börshumöret under rapportperioden,True
Blankarrusch inför rapporterna – ”kan bli stora kursfall”,https://www.di.se/nyheter/blankarrusch-infor-rapporterna-kan-bli-stora-kursfall/,No summary,True
Intellego rekylerar upp efter svar till blankarrapport,https://www.di.se/live/rekordblankat-intellego-rekylerar-upp-efter-svar-till-blankarrapport/,Aktien når historiskt hög blankning bland First North-bolag,True
Bianca Ingrosso och Lovisa Worge lanserar klockor,https://www.di.se/digital/bianca-ingrosso-och-lovisa-worge-lanserar-klockor-satsat-mycket/,Influerarduon hoppas att klockor ska bli en ny kassako,True
Bolaget bakom AI-telefonister skalar upp,https://www.di.se/digital/bolaget-bakom-ai-telefonister-skalar-upp/,”Folk kommer återigen att välja telefonen.”,True
Tidigare vd: Apple möter sin tuffaste rival på årtionden,https://www.di.se/digital/tidigare-vd-apple-moter-sin-tuffaste-rival-pa-artionden/,Designern bakom Iphone hjälper nu AI-jätten,True
Stegra tar in miljarder efter nya förseningar,https://www.di.se/nyheter/stegra-tar-in-miljarder-for-att-sakra-bodenbygge-vi-har-starkt-stod/,Stålverksbygget i Boden dyrare än planerat,True
Altor investerar i Stegras senaste finansieringsrunda,https://www.di.se/live/altor-investerar-i-stegras-senaste-finansieringsrunda/,Med bland bolagen som investerar 10 miljarder,True
Kinnevik utesluter inte nya pengar till Stegra,https://www.di.se/live/kinnevik-utesluter-inte-nya-pengar-till-stegra/,No summary,True
Analys.Stor vinnare på vändningen,https://www.di.se/analys/stor-vinnare-nar-vandningen-kommer/,Magnus DagelSpariver betalar sig – uppsida på 200 procent hägrar,True
Analys.Efter kallduschen – en aktie för risktagare,https://www.di.se/analys/efter-kallduschen-en-aktie-for-risktagare/,Julia ForsbergTrög marknad fällde Di:s köpråd,True
Arlandas hopp: Inrikesflyg och fler turister,https://www.di.se/nyheter/efter-flykten-till-danmark-sa-ska-svenskt-resande-raddas/,Swedavia-chefen letar vägar för att vända flygplatsens dystra trend,True
Ledare.Politiskt stand-by sänker Arlanda,https://www.di.se/ledare/politiskt-stand-by-sanker-arlanda/,Henrik WestmanAtt vända trenden borde vara en nationell angelägenhet,True
Sverige flyger sämst i hela EU – slår hårt mot företagen,https://www.di.se/nyheter/svenska-flygutvecklingen-ar-samst-i-hela-eu/,No summary,True
Japanska oppositionen kan utmana ”The Iron Maiden”,https://www.di.se/nyheter/japanska-oppositionen-i-samtal-for-att-utmana-takaichi/,26-åriga koalitionen bruten – hotar blockera väljarnas favorit,True
