Headline,Link,Summary,Date,Classified
Just nu:Forskartrio får dela på årets ekonomipris,/ekonomi/ekonomipriset-for-forskning-om-kreativ-forstorelse/,No summary,2025-10-13,True
Stegra tar in 10 nya miljarder till stålfabriken,/ekonomi/stegra-tar-in-10-nya-miljarder-till-stalfabriken/,"Stålbolaget Stegra drar in mer kapital för byggandet av fabriken i Boden, bland annat för att ha råd med investeringar i hamn och järnväg.",2025-10-13,True
Snart dags att byta – här är de bästa vinterdäcken,https://www.dn.se/ekonomi//motor/snart-dags-att-byta-har-ar-de-basta-vinterdacken/,Nya regler riskerar att ge kommande dubbdäcksmodeller sämre isgrepp. Vinsten ska bli lägre vägslitage.,2025-10-13,True
XC60 – en viktig Volvo med få nyheter,https://www.dn.se/ekonomi//motor/xc60-en-viktig-volvo-med-fa-nyheter/,Ny grill och ny pekskärm låter kanske inte så viktigt. Men när förändringarna görs på Sveriges viktigaste bil är de viktiga.,2025-10-13,True
”Dör man med en miljon har man arbetat för mycket”,/ekonomi/jag-spenderar-hellre-pengarna-har-och-nu-med-barnen/,Johan Strand vill bli ekonomiskt fri – begravs hellre med vackra minnen än pengar på banken.,2025-10-13,True
Töm kontot innan du dör – och bli lycklig?,/ekonomi/sparpsykologen-om-die-with-zero-kansligt-folk-hatar-att-tanka-pa-doden/,”Många riskerar att bli rikast på kyrkogården”.,2025-10-13,True
Trumps nya Kinatullar: 100 procent till,/ekonomi/trumps-nya-tullhot-mot-kina-100-procent-till/,Ska träda i kraft den 1 november.,2025-10-13,True
Skogens skräp är på väg att bli guld,/ekonomi/skogens-skrap-pa-vag-att-bli-guld/,Råvaran lignin lockar både jättar och uppstickare.,2025-10-13,True
Bostadspriser stiger – mer än normalt,/ekonomi/bostadspriser-stiger-mer-an-normalt/,No summary,2025-10-13,True
Nya priskurvan på el – billigare på dagen än på natten,/ekonomi/nya-priskurvan-pa-el-billigare-pa-dagen-an-pa-natten/,No summary,2025-10-13,True
Medvind för nya segel på lastfartyg,/ekonomi/medvind-for-vinddrivna-skepp/,Svenskt bolag har tagit fram en prototyp • ”Vind är gratis framdrivning.”,2025-10-13,True
Elpriset ökar – så blir din räkning i vinter,/ekonomi/experterna-sa-paverkas-ditt-elpris-i-vinter/,Expert: Hushåll i norr drabbas hårdare.,2025-10-13,True
Gurkor kan få ätbart och osynligt skydd,/ekonomi/atbart-skydd-pa-gurkan-kan-ersatta-plasten/,Test för att minska plastavfall.,2025-10-13,True
Förbjuder fossil reklam – flygbolag hyrde Stadshuset,/ekonomi/stockholm-forbjuder-fossil-reklam-flygbolag-hade-fest-i-stadshuset/,Stockholm lade fram förbud mot fossil reklam • Samma dag hade Turkish Airlines fest.,2025-10-13,True
Sara fick oväntad vädjan – ”JO-anmäl telefonkaoset”,/ekonomi/vadjan-inifran-arbetsformedlingen-anmal-oss/,Fortsatt timslånga köer till Arbetsförmedlingen • Risk att det blir värre.,2025-10-13,True
• Företag ordnade få jobb – men tjänade miljonbelopp,/ekonomi/leverantorer-till-arbetsformedlingen-underpresterade-har-anda-tjanat-miljoner/,No summary,2025-10-13,True
• Synskadade Joachim söker 100 jobb,/ekonomi/synskadade-joachim-soker-100-jobb-i-manaden-inget-fortroende-alls-for-staten/,No summary,2025-10-13,True
SJ slutar köra nattåg till kontinenten,/ekonomi/sj-slutar-kora-nattag-till-kontinenten/,Hänvisar till att staten inte förlängt avtalet som skulle täcka förlusten.,2025-10-13,True
Regeringen vill utreda nattågens framtid,/ekonomi/regeringen-vill-utreda-nattagens-framtid-kostnader-okar-vasentligt/,Kostnaderna ökar • Ministern bromsar: ”Ser över helheten.”,2025-10-13,True
Tungt chefsjobb gav henne utmärkelse,/ekonomi/hon-vinner-ruter-dam-2025-gar-mot-strommen-som-kvinnlig-vd/,Ulrika Kolsrud årets Ruter Dam.,2025-10-13,True
