Headline,Link,Summary,Date,Classified
India’s headline inflation falls to 1.54% in September,https://www.investing.com/news/economic-indicators/indias-headline-inflation-falls-to-154-in-september-93CH-4283725,No summary,2025-10-13,True
Lumentum Holdings Inc receives Investment Bank Analyst Rating Update,https://www.investing.com/news/pro/aletheia-capital-initiates-coverage-of-lumentum-holdings-inc-at-buy-with-a-price-target-of-33000-4283686,,2025-10-13,True
Datavault AI signs letter of intent to acquire NYIAX for exchange expansion,https://www.investing.com/news/pro/datavault-ai-signs-letter-of-intent-to-acquire-nyiax-for-exchange-expansion-432SI-4283715,,2025-10-13,True
Avago Technologies receives Investment Bank Analyst Rating Update,https://www.investing.com/news/pro/aletheia-capital-initiates-coverage-of-broadcom-at-buy-with-a-price-target-of-40000-4283679,,2025-10-13,True
Patterson Uti Energy Inc receives Investment Bank Analyst Rating Update,https://www.investing.com/news/pro/barclays-downgrades-pattersonuti-energy-to-equalweight-with-a-price-target-of-6000-4283672,,2025-10-13,True
Lippert acquires Bigfoot Hydraulic Systems from Leveltron,https://www.investing.com/news/pro/lippert-acquires-bigfoot-hydraulic-systems-from-leveltron-432SI-4283696,,2025-10-13,True
"Marex CEO purchases 32,465 shares in open market transaction",https://www.investing.com/news/assorted/marex-ceo-purchases-32465-shares-in-open-market-transaction-432SI-4283689,No summary,2025-10-13,True
Brookfield Is Said To Near $3B Deal For Remaining Oaktree Stake - Bloomberg,https://www.investing.com/news/pro/brookfield-is-said-to-near-3b-deal-for-remaining-oaktree-stake--bloomberg-432SI-4283687,,2025-10-13,True
Propetro Holding Corp receives Investment Bank Analyst Rating Update,https://www.investing.com/news/pro/barclays-downgrades-propetro-to-equalweight-with-a-price-target-of-500-4283670,,2025-10-13,True
Fastenal shares tumble 4% as third quarter earnings miss estimates,https://www.investing.com/news/earnings/fastenal-shares-tumble-4-as-third-quarter-earnings-miss-estimates-93CH-4283682,No summary,2025-10-13,True
Luxury stocks gain after LVMH reports return to quarterly sales growth,https://www.investing.com/news/stock-market-news/luxury-stocks-gain-after-lvmh-reports-return-to-quarterly-sales-growth-4288877,No summary,2025-10-15,True
Danske Andelskassers Bank raises 2025 earnings forecast,https://www.investing.com/news/stock-market-news/danske-andelskassers-bank-raises-2025-earnings-forecast-93CH-4288874,No summary,2025-10-15,True
"TotalEnergies stock rises on higher production, refining margins",https://www.investing.com/news/stock-market-news/totalenergies-stock-rises-on-higher-production-refining-margins-4288864,No summary,2025-10-15,True
"ASML beats Q3 booking estimates, cautions on weaker China demand",https://www.investing.com/news/earnings/asml-beats-q3-booking-estimates-reaffirms-2025-growth-outlook-4288695,No summary,2025-10-15,True
Futures edge up; ASML guidance; Beige Book ahead - what’s moving markets,https://www.investing.com/news/economy-news/futures-edge-up-asml-guidance-beige-book-ahead--whats-moving-markets-4288849,No summary,2025-10-15,True
"Stellantis recalls nearly 300,000 Dodge Dart vehicles over rollaway risk",https://www.investing.com/news/stock-market-news/stellantis-recalls-nearly-300000-dodge-dart-vehicles-over-rollaway-risk-93CH-4288844,No summary,2025-10-15,True
"Rathbones assets rise to £113bn in Q3, focus shifts to restoring inflows",https://www.investing.com/news/earnings/rathbones-assets-rise-to-113bn-in-q3-focus-shifts-to-restoring-inflows-4288836,No summary,2025-10-15,True
Spain’s inflation rate rises to 3% in September,https://www.investing.com/news/economic-indicators/spains-inflation-rate-rises-to-3-in-september-93CH-4288835,No summary,2025-10-15,True
Rakuten shares jump on report of possible US listing for credit card unit,https://www.investing.com/news/stock-market-news/rakuten-shares-jump-on-report-of-possible-us-listing-for-credit-card-unit-93CH-4288828,No summary,2025-10-15,True
European stocks bounce after losses; French market in spotlight,https://www.investing.com/news/stock-market-news/european-stocks-bounce-after-losses-french-market-in-spotlight-4288822,No summary,2025-10-15,True
Aurubis shares drop after Salzgitter sells €500 mln convertible bonds,https://www.investing.com/news/stock-market-news/salzgitter-sells-500-million-in-aurubis-exchangeable-bonds-4288890,No summary,2025-10-15,True
"European, U.S. chipmakers push higher after ASML’s net bookings beat estimates",https://www.investing.com/news/stock-market-news/european-us-chipmakers-push-higher-after-asmls-net-bookings-beat-estimates-4288888,No summary,2025-10-15,True
"Ford recalls over 59,000 vehicles due to engine block heater fire risk",https://www.investing.com/news/stock-market-news/ford-recalls-over-59000-vehicles-due-to-engine-block-heater-fire-risk-93CH-4291412,No summary,2025-10-16,True
"Some European, U.S. chip stocks gain after TSMC posts third-quarter income spike",https://www.investing.com/news/stock-market-news/some-european-us-chip-stocks-gain-after-tsmc-posts-thirdquarter-income-spike-4291409,No summary,2025-10-16,True
"Whitbread H1 profit beats estimates, but shares slide 8% on cost, Germany warnings",https://www.investing.com/news/earnings/whitbread-h1-profit-beats-estimates-but-shares-slide-8-on-cost-germany-warnings-4291406,No summary,2025-10-16,True
United Airlines projects highest quarterly revenue ever amid strong travel demand,https://www.investing.com/news/earnings/united-airlines-beats-profit-raises-q4-outlook-betting-on-customer-loyalty-4290748,No summary,2025-10-16,True
"Canal+ posts slightly higher revenue, acquires 34% stake in UGC",https://www.investing.com/news/earnings/canal-posts-slightly-higher-revenue-acquires-34-stake-in-ugc-4291392,No summary,2025-10-16,True
Charles Schwab set for strong Q3 amid market tailwinds and strategic shifts,https://www.investing.com/news/pro/charles-schwab-set-for-strong-q3-amid-market-tailwinds-and-strategic-shifts-432SI-4291390,,2025-10-16,True
World Wrestling Entertainment receives Investment Bank Analyst Rating Update,https://www.investing.com/news/pro/seaport-global-securities-upgrades-tko-holdings-to-buy-with-a-price-target-of-21400-4291376,,2025-10-16,True
TSMC earnings; Oracle analyst meeting; Gold’s new high - what’s moving markets,https://www.investing.com/news/economy-news/tsmc-earnings-oracle-analyst-meeting-golds-new-high--whats-moving-markets-4291372,No summary,2025-10-16,True
"Sartorius AG shares surge 11% after Q3 beat, full-year guidance raised",https://www.investing.com/news/stock-market-news/sartorius-ag-shares-surge-11-after-q3-beat-fullyear-guidance-raised-4291371,No summary,2025-10-16,True
"Kinnevik posts Q3 profit and higher NAV, flags stronger 2026 setup; shares jump",https://www.investing.com/news/earnings/kinnevik-posts-q3-profit-and-higher-nav-flags-stronger-2026-setup-shares-jump-4291370,No summary,2025-10-16,True
