Headline,Link,Summary,Scraped_Date,Classified
Svensk ekonomi väntas växa snabbast i Norden,https://omni.se/svensk-ekonomi-vantas-vaxa-snabbast-i-norden/a/5EPQgE,"Den nordiska ekonomin väntas växa snabbare än euroområdets under 2026, enligt Oxford Economics. Det rapporterar Direkt.",2025-10-13,True
Trio tilldelas ekonomipriset: ”Skapande och förstörelse”,https://omni.se/sovjetiskfodd-handelsexpert-bland-ekonomipristippade/a/eMbwkM,"Årets ekonomipris tilldelas Joel Mokyr, Philippe Aghion och Peter Howitt, enligt Kungliga vetenskapsakademien.",2025-10-13,True
Telekom och Saab sänke på avvaktande börs,https://omni.se/oppning-pa-gront-vantas-efter-sur-fredag/a/5EPv5e,"Stockholmsbörsen handlas avvaktande i veckoinledningen efter fredagens hastiga fall vid stängning. I öppningen pekade Infronts öppningsdata på felaktiga siffror. Vid 13-tiden står indexen så här: 

• OMXSPI: +0,1%
• OMXS30: –0,1%

I fredags föll börserna brett både i Sverige och USA efter att Donald Trump hotat Kina med strafftullar på 100 procent. Under helgen har ordväxlingen fortsatt och Trump delvis mjukat upp sina uttalanden, men Nordea skriver i ett marknadsbrev att tulloron är tillbaka.",2025-10-13,True
Analys: Behövs mer för att sänka börsen – lyft blicken,https://omni.se/analys-behovs-mer-for-att-sanka-borsen-lyft-blicken/a/vg4d1B,I fredags föll börserna plötsligt efter att handelskriget mellan Kina och USA fått nytt syre. EFN:s Daniel McPhee skriver att det nästan var som att börserna letade efter skäl att gå ner och att det oftast räcker med små nedgångar för att investerare ska hitta tillbaka till aktier.,2025-10-13,True
Kina: Redo att svara – om USA går vidare med tullhot,https://omni.se/kina-redo-att-svara-om-usa-gar-vidare-med-tullhot/a/mPXnPO,"Görs verklighet av Trumpadministrationens nya vapenskrammel i tullbråket med Kina kommer landet att svara med samma mynt. Det uppger Kinas utrikesdepartement, enligt Reuters.",2025-10-13,True
JD Vance: ”Har betydligt fler kort på hand än Kina”,https://omni.se/jd-vance-usa-har-betydligt-fler-kort-pa-hand-an-kina/a/LM8Qn1,"Ordbråket mellan USA och Kina fortsatte under söndagen, efter fredagens hot från Donald Trump om strafftullar på ytterligare 100 procent. Det rapporterar Bloomberg.",2025-10-13,True
ATG fälls för bristande penningtvättskontroll,https://omni.se/atg-falls-for-bristande-penningtvattskontroll/a/Ey32y3,"Aktiebolaget Trav och Galopp (ATG) har brutit mot reglerna för att motverka penningtvätt, enligt Kammarrätten i Jönköping.",2025-10-13,True
Hushållen tror på oförändrade bostadspriser,https://omni.se/hushallen-tror-pa-oforandrade-bostadspriser/a/QMdWB4,"Vart fjärde hushåll tror att bostadspriserna förblir oförändrade det kommande året, enligt SEB:s Boprisindikator för oktober som ligger still på 29 enheter – något under det historiska snittet. Samtidigt tror 43 procent på stigande priser och 14 procent på sjunkande.",2025-10-13,True
L till C: Varför ställer ni er inte på vår sida?,https://omni.se/centern-i-fokus-varfor-vill-du-vara-med-den-sidan/a/al5emd,Regeringspartierna riktade sig flera gånger till Centerpartiet och Anna-Karin Hatt under kvällens partiledardebatt i SVT.,2025-10-13,True
Tidigare Nasdaq-anställd inför rätta i insidermål,https://omni.se/tidigare-nasdaq-anstalld-infor-ratta-i-insidermal/a/QMdXwJ,"På måndag inleds rättegången mot en 52-årig man och tre medåtalade misstänkta för grovt insiderbrott, skriver DI.",2025-10-13,True
Analytiker: Verkar som att USA inte har lärt sig någonting,https://omni.se/analytiker-verkar-som-att-usa-inte-har-lart-sig-nagonting/a/OoGXpE,USA inför nästa vecka en hamnavgift för Kinesiska fartyg. Donald Trumps tanke är att det ska väcka liv i landets skeppsbyggnadsindustri. Kina meddelade på fredagen att man svarar med samma mynt.,2025-10-13,True
Pentagon hamstrar sällsynta jordartsmetaller: ”Fokus”,https://omni.se/pentagon-hamstrar-sallsynta-jordartsmetaller-fokus/a/kwA14k,"USA:s försvarsdepartement Pentagon är på väg att köpa sällsynta jordartsmetaller för upp till 1 miljard dollar i en statlig reserv. Det framgår av offentliga dokument som Pentagon publicerat de senaste månaderna, skriver FT.",2025-10-13,True
Kina försvarar åtgärder – anklagar Trump: ”Är inte rädda för att slåss”,https://omni.se/kina-forsvarar-atgarder-anklagar-trump-ar-inte-radda-for-att-slass/a/OoG0dA,"Kina fördömer USA:s planer att införa tullar på ytterligare 100 procent på kinesisk export och hotar med motåtgärder, rapporterar flera medier.",2025-10-13,True
Rekordmånga vill jobba på Saab: ”150 000 ansökningar”,https://omni.se/rekordmanga-vill-jobba-pa-saab-150000-ansokningar/a/Av6k0z,"Rekordmånga jobba på försvarsjätten Saab, enligt SvD. Så här långt i år har företaget fått in 150 000 jobbansökningar och ökat personalstyrkan med 5 000 anställda.",2025-10-13,True
181 miljarder försvann på ett dygn: ”Svart svan”,https://omni.se/181-miljarder-i-krypto-forsvann-pa-ett-dygn-svart-svan/a/XjvJgE,"Kryptomarknaden tog en rekordstor smäll under fredagen, i spåren av Donald Trumps senaste tullsalva mot Kina, rapporterar Bloomberg.",2025-10-13,True
Danmark köper stridsplan och rustar i Nordatlanten,https://omni.se/danmark-koper-stridsplan-och-rustar-i-nordatlanten/a/o3jlp7,"Danmark har slutit ett avtal om att köpa in 16 amerikanska stridsflygplan av typen F-35, enligt danska medier. För inköpet avsätts 29 miljarder danska kronor, motsvarande 43 miljarder svenska kronor.",2025-10-13,True
Saab får förlängd order för Gripen värd 4 miljarder,https://omni.se/saab-far-forlangd-gripenorder-vard-4-miljarder/a/Ey3LOa,"Försvarsmakten förlänger ett underhållskontrakt för stridsplanet Jas Gripen och Saab har dessutom fått en order på support- och underhållstjänster för Gripens C/D och E-modeller. Ordervärdet uppgår till cirka 4 miljarder kronor, enligt ett pressmeddelande.",2025-10-13,True
”Matmomsen trubbig och dyr – men nödvändig”,https://omni.se/matmomsen-trubbig-och-dyr-men-nodvandig-gudbevars/a/Mn4mRo,"Förslaget om den tillfälligt sänkta matmomsen är ”trubbigt och dyrt” och ”plottrar sönder skattesystemet”. Men just nu i är det nödvändigt, säger Dahlgren Capitals chefsstrateg Klas Eklund till Affärsvärlden.",2025-10-13,True
Nedstängningen kan sätta stopp för noteringsvåg,https://omni.se/nedstangningen-kan-satta-stopp-for-ipo-vagen/a/mPXe6L,Att 90 procent av den amerikanska finansinspektionens personal sitter hemma i soffan under nedstängningen kan få konsekvenser för IPO-marknaden. Det skriver internationella medier.,2025-10-13,True
Investerare: USA på väg mot ”något slags” inbördeskrig,https://omni.se/ray-dalio-usa-pa-vag-mot-nagot-slags-inbordeskrig/a/GyoeQx,Investeringsässet Ray Dalio tror att USA är på väg mot ”ett inbördeskrig av något slag”.,2025-10-13,True
Stockholmsbörsen lyfter från start – Nibe i topp,https://omni.se/stockholmsborsen-mot-gron-oppning/a/QMdzVQ,"Stockholmsbörsen inleder onsdagen på plus. Efter en halvtimmes handel ser det ut så här:

• OMXSPI: +0,7%
• OMXS30: +0,6%

Under morgonen öppnade Emilshus böckerna för det tredje kvartalet. Fastighetsbolaget ökade intäkter och vinst rejält samt skruvade upp prognoserna. Aktien belönas med ett lyft på 3 procent.",2025-10-15,True
Stockholmsbörsen hittade kraft – historiskt lyft i Ericsson,https://omni.se/borsen-mot-oppning-strax-under-nollan/a/Av6Mvz,"Stockholmsbörsen backade initialt på tisdagen men hittade kraft under eftermiddagen. Vid stängning var utvecklingen: 

• OMXSPI: +0,1%
• OMXS30: +0,5%

Dagens huvudnummer var morgonens kvartalsrapport från Ericsson – först ut av OMXS30-bolagen. Omsättning och lönsamhet kom in över förväntan och aktien rusade 18 procent. Uppgången är den största sedan 2002.",2025-10-15,True
Inflationen föll som väntat – matpriser ner för andra månaden,https://omni.se/inflationen-foll-som-vantat-i-september/a/yEk20A,"Inflationen mätt som KPIF minskade till 3,1 procent i september från 3,2 i augusti,  vilket var i linje med de preliminära siffror som kom förra veckan.",2025-10-15,True
Bitcoin värda 133 miljarder tagna i misstänkt kryptohärva,https://omni.se/bitcoin-varda-133-miljarder-tagna-i-misstankt-kryptoharva/a/eMbgLy,"Amerikanska myndigheter har beslagtagit bitcoin värda över 14 miljarder dollar, runt 133 miljarder kronor, och åtalat en brittisk-kambodjansk affärsman för att ha orkestrerat ett kryptobedrägeri. Det skriver flera medier.",2025-10-15,True
Källor: SSAB:s järnleveranser från LKAB hotas stoppas,https://omni.se/kallor-ssab-s-jarnleveranser-fran-lkab-hotas-stoppas/a/LM87Kp,"Leveranserna av järnmalm från LKAB till SSAB riskerar att upphöra, uppger källor med insyn för EFN.",2025-10-15,True
Frukt och grönt billigare men smöret fortsätter upp,https://omni.se/frukt-och-gront-billigare-men-smoret-fortsatter-upp/a/3MW03d,Matpriserna föll för andra månaden i rad i september. Bakom nedgången står bland annat frukt och grönt samt fisk. Det skriver SCB i ett pressmeddelande.,2025-10-15,True
Har försökt sälja lägenheten i fyra år: ”Sitter och hoppas”,https://omni.se/har-forsokt-salja-lagenheten-i-fyra-ar-sitter-och-hoppas/a/zAd2eO,Nora Suni har försökt sälja sin bostadsrätt i Hallunda utanför Stockholm i fyra år. För Mitt i berättar hon att det känns hopplöst.,2025-10-15,True
Trots senaste tidens toppar – normala vinterpriser väntas,https://omni.se/trots-senaste-tidens-toppar-normala-vinterpriser-vantas/a/LM87d9,"Trots ett par toppar de senaste dygnen pekar allt på att elpriserna kommer att hålla sig i schack  i vinter, skriver Fortum.",2025-10-15,True
Elpriset skenar – upp mot sex kronor i södra Sverige,https://omni.se/elpriset-rusar-upp-mot-6-kronor-i-sodra-sverige/a/JbVAE7,"Elpriset skjuter i höjden under tisdagskvällen och når stundtals 5,70 kronor per kilowattimme i södra Sverige, enligt elbörsen Nord Pool. Det rapporterar TT.",2025-10-15,True
Arbetslösheten sjönk för andra månaden i rad,https://omni.se/arbetslosheten-sjonk-for-andra-manaden-i-rad/a/kwAV16,"Arbetslösheten sjönk för andra månaden i rad, visar siffror från Arbetsförmedlingen.",2025-10-15,True
Antalet ansökningar till a-kassan fortsätter minska,https://omni.se/farre-ansokningar-till-a-kassan-for-tredje-manaden-i-rad/a/73Ewrv,"Ansökningarna om a-kassa minskar för tredje månaden i rad, enligt färska siffror från Sveriges a-kassor.",2025-10-15,True
