Headline,Link,Summary,Scraped_Date,Classified
Varnar: Ryssland övar cyberkrig mot Sverige,https://www.svd.se/a/KMOGWo/varningen-fran-ukraina-ryssland-ovar-cyberkrig-mot-sverige,Ukrainska toppchefen kämpar mot ryska hackare: ”De är extremt skickliga.”,2025-10-13,True
Skilj dig i London – tjäna miljarder,https://www.svd.se/a/xmG5qj/skilj-dig-i-london-varldens-huvudstad-for-skilsmassor,Katrine Kielos:Så blev staden de stormrikas främsta destination för skilsmässor.,2025-10-13,True
ATG fälls – ska betala tre miljoner,https://www.svd.se/a/W0Qyrg/atg-falls-ska-betala-tre-miljoner,”Överträdelse av grundläggande regler.”,2025-10-13,True
Historiskt miljardras för krypto,https://www.svd.se/a/vg4dGX/bitcoin-rasar-storsta-tvangslikvideringen-nagonsin,Bitcoin rasade – största tvångslikvideringen någonsin. Läs dagens Tech brief.,2025-10-13,True
Trio får årets ekonomipris,https://www.svd.se/a/kwALXv/trio-delar-pa-ekonomipriset,Reaktionen: ”Överraskanske – hittar inte orden.”,2025-10-13,True
Klarnas vd: AI-chock på arbetsmarknaden på väg,https://www.svd.se/a/Av6kQ5/klarnas-sebastian-siemiatkowski-ai-chock-vantar-arbetsmarknaden,Kan innebära slutet för traditionella bankers övervinster.,2025-10-13,True
Regeringen pressar på för Östlig förbindelse,https://www.svd.se/a/0VMO4o/regeringen-pressar-pa-for-ostlig-forbindelse,Källor till DI uppger att besked kan komma på måndag • ”Håller tunnelbanan som gisslan.”,2025-10-13,True
Han visselblåste – och sparkades från toppjobb,https://www.svd.se/a/KMOlm7/anders-munk-sparkade-av-alecta-stammer-pensionsjatten,Alecta kallade beteendet ”illojalt” – nu stämmer Anders Munk pensionsjätten på miljonbelopp.,2025-10-13,True
Krig om ”Wokepedia” – Musk startar utmanare,https://www.svd.se/a/kw28oL/strid-om-wikipedia-elon-musk-startar-konkurrenten-grokipedia,Uppslagsverket attackeras på flera håll • ”En av de sista bra platserna på internet”.,2025-10-13,True
Second hand boomar – triggar mer konsumtion,https://www.svd.se/a/kw22wL/vinted-plick-och-vestiaire-boomar-inte-nodvandigtvis-mer-hallbart,Forskare: Psykologisk faktor ökar köpviljan • ”Lätt att spontan­shoppa.”,2025-10-13,True
Efter rekordet – Saab spår fortsatt tillväxt,https://www.svd.se/a/25LPAq/saab-har-nu-vuxit-till-ett-av-sveriges-storsta-foretag,Försvarsjätten har vuxit till ett av Sveriges största företag – 150 000 jobbansökningar hittills i år.,2025-10-13,True
Efter börsraset – ”kan bli turbulenta dagar”,https://www.svd.se/a/zAdzO4/varnar-for-turbulens-pa-borsen-efter-trumps-tullhot,Trumps nya tullhot fick börserna att falla • ”Inte nödvändigtvis en utlösande faktor.”,2025-10-13,True
”Världens dyraste svamp” såld,https://www.svd.se/a/lwpbdM/varldens-dyraste-svamp-sald-for-53000-kronor,Hotell la vinnande budet – så mycket gick den för.,2025-10-13,True
"”Får bara frågan: har du mens, ja eller nej?”",https://www.svd.se/a/93y8Bd/estercare-och-femma-vill-stoppa-kvinnors-dolda-lidande,Svenska Damhockeyligan använder AI-verktyg för hälsa • ”Träningsläran baserad på män.”,2025-10-13,True
Så ser det ut på darknet,https://www.svd.se/a/B0oz99/svd-podd-tech-brief-sa-ser-det-ut-pa-darknet,Och finns det ett mysigt hörn?,2025-10-13,True
Därför överger unga sociala medier,https://www.svd.se/a/PpkPVJ/svd-podd-tech-brief-darfor-overger-unga-sociala-medier,Och hur AI förstör våra flöden,2025-10-13,True
”Jag blir dumsnål i det sammanhanget”,https://www.svd.se/a/JbkLBm/svd-podd-tech-brief-jag-ar-dumsnal-i-det-sammanhanget,Är det moraliskt försvarbart att handla mat från Foodora?,2025-10-13,True
Chockvändningen: ABB säljer robotar till Japan,https://www.svd.se/a/vg46zl/abb-saljer-rototics-till-japanska-softbank,Miljardaffär klar efter nattmangling – prislappen betydligt högre än tidigare värdering.,2025-10-13,True
Då skenar kostnaderna – ”inte den bild man får”,https://www.svd.se/a/kwAELB/darfor-skenar-kostnaderna-pa-de-stora-byggprojekten,Kostnadsökningarna sker inte under själva byggfasen – problemen uppstår tidigare.,2025-10-13,True
Bygget slukar miljarder: ”Är en bananrepublik”,https://www.svd.se/a/lwBbBe/kaoset-runt-vastlanken-forseningar-miljardrullning-och-offentliga-storbrak,"Kaoset runt Västlänken: Förseningar, miljardrullning och offentliga storbråk.",2025-10-13,True
Bitcoin slår nya rekord: ”Dollarn urholkas”,https://www.svd.se/a/pPo4xX/bitcoin-slar-nya-rekord-efter-politisk-turbulens,"Möjliga förklaringar: Politisk turbulens, heta sedelpressar, och oktober.",2025-10-13,True
Finansiell mardröm – ”går inte att hämta hem”,https://www.svd.se/a/0VML26/coco-carmens-nedstangning-en-finansiell-mardrom-gar-inte-att-hamta-hem,Coco & Carmen stänger ned i bistert klimat – svårare än någonsin att få kalkylen att gå ihop.,2025-10-13,True
"Är detta bara ett skådespel, alltihop?",https://www.svd.se/a/0VPeao/vanja-wikstroms-haveri-i-world-of-alidia-vacker-fragor-om-influencer-ekonomin,Björn Jeffery:Vanja Wikströms haveri väcker frågor om hela influencer-ekonomin.,2025-10-13,True
USA kan vara ett steg från storkris,https://www.svd.se/a/63x0xo/usa-s-skuldberg-oroar-experter-skulle-kunna-utlosa-en-finanskris,Johan Carlström:En faktor skrämmer extra: ”Potential att bli alla skuldkrisers moder.”,2025-10-13,True
Blågul noteringsyra – börsen ”hetast i Europa”,https://www.svd.se/a/3MW1M0/blagul-noteringsyra-stockholmsborsen-hetast-i-europa,Jubel efter senaste årens bergochdalbana • Därför är svenska sparare unika.,2025-10-13,True
IMF om ekonomin: ”Ta på säkerhetsbältet”,https://www.svd.se/a/8qrE9d/imf-chefen-kristalina-georgieva-om-varldsekonomin-ta-pa-sakerhetsbaltet,"Pressas av Trumptullar, misstro och skuldberg • Valutafonden: Fler prövningar på väg.",2025-10-13,True
Byggen rensas bort när underhåll prioriteras,https://www.svd.se/a/KMd4j5/sa-blir-trafikverkets-infrastrukturplan-byggen-rensas-bort-underhall-prioriteras,Trafikverkets plan: underhållet av vägar ska öka med drygt 50 procent och järnvägar med 20.,2025-10-13,True
”Guldpriset är ett tecken på att något är knas”,https://www.svd.se/a/1MmEGG/guldpriset-rusar-lage-att-salja-sina-smycken,Rusar mot 4 000-dollarsvallen • Bråda dagar vid värderingsdiskarna.,2025-10-13,True
Duon tar över: Har levererat otroligt bra,https://www.svd.se/a/pP78Wj/daniel-ek-slutar-som-vd-i-spotify,Daniel Ek slutar som vd efter 19 år – de tar över på posten.,2025-10-13,True
Ek tystade tvivlarna – fick rätt till slut,https://www.svd.se/a/vg0Jxw/daniel-ek-slutar-som-vd-det-blir-hans-nasta-drag,Björn Jeffery:Konturerna av vad som väntar svenske tech-kungen och Spotify syns redan nu.,2025-10-13,True
Akut elbrist hotar: ”Farliga scenarier”,https://www.svd.se/a/0VMpkJ/ingen-elreserv-i-vinter-stromavbrott-hotar,Vinterväder fara för elförsöjningen •  S lägger skulden på regeringen.,2025-10-13,True
Står de inför sitt ”Iphone-moment”?,https://www.svd.se/a/pPoKdw/open-ai-kan-sta-infor-sitt-iphone-moment,Björn Jeffery:Konkurrenterna är hack i häl – nu lånar Open AI strategi från Steve Jobs.,2025-10-13,True
Chocksiffran: Kan försätta USA i svår kris,https://www.svd.se/a/OoG22A/trump-har-allt-storre-problem-pa-hemmaplan-svd-listar-tio-av-dem,Trenden för vita personer födda på 1980-talet sticker ut: ”Vi gör inte framsteg.”,2025-10-15,True
Jätteraset avslöjar kryptons sårbarhet,https://www.svd.se/a/RzJpwa/bitcoins-ras-avslojar-kryptons-sarbarhet,Björn Jeffery:Satt någon på information som fick hela marknaden att gunga?,2025-10-15,True
Sågas på nytt: Rött kött pekas ut som boven,https://www.svd.se/a/ny37nJ/riksrevisionen-sagar-regeringens-klimatpolitik-saknas-styrmedel,Regeringens jordbrukspolitik får tummen ned: ”Saknas styrmedel.”,2025-10-15,True
Ekonomipristagare: ”Vakna upp”,https://www.svd.se/a/yEkdge/nobel-ekonomipristagare-vakna-upp-europa,Varnar för att Europa halkar efter i teknologi – läs dagens Tech brief.,2025-10-15,True
Experter: Oklart om han hade rätt att visselblåsa,https://www.svd.se/a/qP2d81/alectas-sparkade-toppchef-kan-ha-gjort-fel-enligt-experter,Sparkade Alectachefen Anders Munks anmälan till Finansinspektionen kan sakna laglig grund.,2025-10-15,True
