Headline,Link,Summary,Scraped_Date,Classified
SCB: Matpriserna sjönk för andra månaden i rad,https://www.svt.se/nyheter/ekonomi/scb-matpriserna-sjunker-for-andra-manaden-i-rad,,2025-10-15,True
Elpriset skenar – närmare sex kronor i kväll,https://www.svt.se/nyheter/ekonomi/elpriset-skenar-narmare-sex-kronor-i-kvall,Ny pristopp väntas på onsdagen,2025-10-15,True
Trio får årets Nobelpris i ekonomi: ”Stora positiva följder”,https://www.svt.se/nyheter/ekonomi/de-far-ekonomipriset-till-alfred-nobels-minne-qiktv3,Prisas för ”innovationsdriven ekonomisk tillväxt”,2025-10-15,True
”Dynamit i ett slumrande handelskrig”,https://www.svt.se/nyheter/ekonomi/nya-tullhotet-mot-kina-dynamit-i-ett-slumrande-handelskrig,SVT:s ekonomikommentator om Trumps nya tullhot mot Kina,2025-10-15,True
Stockholmsbörsen hetast i Europa – men dissades av Klarna,https://www.svt.se/nyheter/ekonomi/stockholmsborsen-hetast-i-europa-men-dissades-av-klarna,Drar in mer pengar än både London och Frankfurt – hör varför i videon,2025-10-15,True
Just nuTrump hotar Kina med nya strafftullar på 100 procent,https://www.svt.se/nyheter/ekonomi/trump-hotar-kina-med-nya-massiva-tullar,,2025-10-15,True
Så blev inflationen i september,https://www.svt.se/nyheter/ekonomi/sa-blev-inflationen-i-september,,2025-10-15,True
Trump: Tullar på lastbilar höjs i november,https://www.svt.se/nyheter/ekonomi/trump-tullar-pa-lastbilar-hojs-i-november,,2025-10-15,True
Bitcoin når ny rekordnivå,https://www.svt.se/nyheter/ekonomi/bitcoin-nar-ny-rekordniva,,2025-10-15,True
”Kommer inte kunna göra samma bostadskarriär som mina föräldrar”,https://www.svt.se/nyheter/ekonomi/bostadskarriar-allt-svarare-for-generation-z,Bostadskarriär – allt svårare för generation Z•”Den tiden känns lite passé”,2025-10-15,True
