Headline,Link,Summary,Scraped_Date,Classified
Volkswagen posts marginal rise in third‑quarter deliveries,https://finance.yahoo.com/news/volkswagen-posts-marginal-rise-third-110638554.html,No summary,2025-10-13,True
TSMC Q3 profit expected to soar 28% on AI spending boom,https://finance.yahoo.com/news/tsmc-q3-profit-expected-soar-090445995.html,No summary,2025-10-13,True
"Sentiment steadies after Trump cools rhetoric on China, gold at record highs",https://finance.yahoo.com/news/sentiment-steadies-trump-cools-rhetoric-105242120.html,No summary,2025-10-13,True
"Stocks dip as government shutdown continues, rare earths rally: What to watch this week",https://finance.yahoo.com/news/stocks-dip-as-government-shutdown-continues-rare-earths-rally-what-to-watch-this-week-114600627.html,No summary,2025-10-13,True
Morning Bid: Markets claw back amid looping narratives,https://finance.yahoo.com/news/morning-bid-markets-claw-back-104259900.html,No summary,2025-10-13,True
Amcor names Stephen R Scherger as chief financial officer,https://finance.yahoo.com/news/amcor-names-stephen-r-scherger-110606038.html,No summary,2025-10-13,True
Health Care Roundup: Market Talk,https://www.wsj.com/articles/health-care-roundup-market-talk-e76cff68?siteid=yhoof2&yptr=yahoo,No summary,2025-10-13,True
Jim Cramer Says Worries About Oracle (ORCL) Losing Money Are Like Buying A Boeing Plane,https://finance.yahoo.com/news/jim-cramer-says-worries-oracle-061828275.html,No summary,2025-10-13,True
Wall Street's biggest banks are riding high as earnings season begins,https://finance.yahoo.com/news/wall-streets-biggest-banks-are-riding-high-as-earnings-season-begins-130017995.html,No summary,2025-10-13,True
"Microsoft, SoftBank in talks for $2 billion investment in UK's Wayve, FT reports",https://finance.yahoo.com/news/microsoft-softbank-talks-2-billion-102104749.html,No summary,2025-10-13,True
Iran’s NIOC begins development work at Pazan field under 40‑month programme,https://finance.yahoo.com/news/iran-nioc-begins-development-pazan-110220266.html,No summary,2025-10-13,True
"Airlines face $11 billion supply chain hit in 2025, IATA says",https://finance.yahoo.com/news/airlines-face-11-billion-supply-101242664.html,No summary,2025-10-13,True
