Headline,Link,Model_Category,Sentiment,Model_Summary,Time (s),Classified
Kinas varning: ”Vill inte slåss – men inte rädda”,https://www.expressen.se/ekonomi//nyheter/varlden/kinas-varning-till-usa-efter-hot-om-skyhoga-tullar/,Politics,Neutral,[2025-10-13] This article discusses a response to threats of tariffs made by Donald Trump. It suggests a reaction or answer to Trump's trade-related actions.,1.49,True
”Modehandeln anar ett ljus i slutet av tunneln”,/ekonomi/kladforsaljningen-okade-i-september/,Business,Positive,[2025-10-13] Clothing sales increased in September. This indicates a positive trend in the retail sector.,0.93,True
Guide: Så väljer du rätt Apple Watch-modell,/ekonomi/tech/guide-sa-valjer-du-ratt-apple-watch-modell/,Technology,Neutral,"[2025-10-13] The article poses a question about which product – Ultra 3, Series 11, or SE3 – is the best fit for the reader. It appears to be a comparison of different product lines.",1.36,True
Kom från ingenstans– värda två miljarder,https://www.expressen.se/ekonomi//nyheter/varlden/de-kom-fran-ingenstans-nu-ar-energidrycken-vard-2-miljarder/,Business,Positive,"[2025-10-13] The Swedish business show 'Draknästen' (Dragon's Den) experienced significant success, hinting at potential global expansion. This success suggests aspirations for worldwide market dominance.",1.31,True
Lager 157-grundaren: ”Pengar aldrig målet”,/ekonomi/lager-157-grundaren-pengar-aldrig-varit-malet/,Business,Neutral,[2025-10-13] The article discusses a driver at a billion-dollar company and a quote suggesting a feeling of spiritual poverty. It appears to focus on personal feelings within a business context.,1.25,True
Få 10 000 extra medrätt pensionsstrategi,/ekonomi/pension/maxa-eller-sakra-sa-far-du-mest-ut-av-pensionen/,Business,Neutral,[2025-10-13] The article discusses strategies for maximizing pension savings. It aims to help readers understand how to best secure their retirement.,1.09,True
Ernstberger frias för lyxgåvan till hustrun,/ekonomi/pension/-ernstberger-frias-for-lyxgavan-till-hustrun/,Business,Neutral,[2025-10-13] A Swedish media personality reportedly gifted half of his Lidingö villa to his wife as a wedding gift. The story details a significant property transfer within a personal relationship.,1.24,True
Musk överens medTwittercheferna,/ekonomi/musk-forlikar-med-tidigare-twitterchefer/,Business,Negative,[2025-10-13] A significant $128 million in unpaid severance payments is being reported. This indicates potential financial difficulties or legal issues for the company involved.,1.19,True
Halvledarjätteökar försäljning,/ekonomi/halvledarjatten-tsmc-okar-forsaljningen/,Business,Positive,"[2025-10-13] The article, titled ""Winners in the AI Wave,"" likely discusses companies or individuals benefiting from the growth and adoption of artificial intelligence. It suggests a positive outlook and success related to the AI market.",1.35,True
Ryska börsen dyker efter uttalandet,/ekonomi/aktier-och-bors/efter-uttalandet-ryska-borsen-dyker-samsta-pa-tre-ar/,Business,Negative,"[2025-10-13] The headline translates to ""Worst day in over three years,"" suggesting a significant downturn in financial markets. This indicates a negative performance in business or finance.",1.17,True
Ica-banken nedringdav förrvirrade kunder,/ekonomi/privatekonomi/ica-banken-skickar-ut-felaktiga-fakturor/,Business,Neutral,"[2025-10-13] A notice has been mistakenly sent out, and recipients are advised to disregard it. The article indicates an error in communication regarding a reminder.",1.1,True
Nu kommer GooglesAI-sökning till Sverige,/ekonomi/tech/nu-kommer-googles-ai-sokning-till-sverige/,Technology,Neutral,"[2025-10-13] The article discusses enabling reasoning and follow-up question capabilities, likely in the context of artificial intelligence or software. It appears to be exploring advancements in conversational AI.",1.18,True
