Headline,Link,Model_Category,Sentiment,Model_Summary,Time (s)
Wall Street futures on stronger footing as government shutdown concerns take center stage,https://www.investing.com/news/economy-news/wall-street-futures-on-stronger-footing-as-government-shutdown-concerns-take-center-stage-4259880,Business,Neutral,"U.S. stock index futures rose on Monday, signaling a potentially eventful week for investors. The market is anticipating upcoming remarks and events.",1.5
Japan says economy recovering but US tariff impact seen in auto sector,https://www.investing.com/news/economy-news/japan-says-economy-recovering-but-us-tariff-impact-seen-in-auto-sector-4259865,Business,Neutral,"Japan's government reported a moderate economic recovery. However, the article mentions the impact of U.S. trade, suggesting potential uncertainties.",1.14
"Musk’s X ’deeply concerned’ by Indian court order over content takedown, plans appeal",https://www.investing.com/news/economy-news/musks-x-says-to-appeal-indian-court-order-on-contentremovalsystem-4259428,Technology,Negative,X (formerly Twitter) expressed concern over an Indian court ruling that overturned a previous order. The company is facing legal challenges regarding content moderation in India.,1.2
"Riksbank finished easing after September cut, minutes of meeting show",https://www.investing.com/news/economy-news/swedish-central-bank-done-with-easing-after-cut-minutes-of-meeting-show-4259726,Business,Neutral,Sweden is undergoing a monetary policy easing cycle with eight interest rate cuts implemented since last spring. This reflects efforts to stimulate the economy.,1.11
"Under Trump, US cedes its share of China’s beef market to Australia",https://www.investing.com/news/economy-news/under-trump-us-cedes-its-share-of-chinas-beef-market-to-australia-4259764,Business,Neutral,Australian beef has taken the place of U.S. beef in the Chinese market. This shift is attributed to ongoing trade dynamics and geopolitical factors.,1.15
"Dollar falls before US data amid shutdown concerns, yen outperforms",https://www.investing.com/news/economy-news/dollar-on-the-defensive-before-data-releases-risk-of-us-government-shutdown-4259404,Business,Negative,The dollar fell on Monday due to worries about a possible government shutdown in the United States. This decline reflects market anxiety regarding potential economic disruption.,1.13
NFPs ahead this week as possible U.S. shutdown looms - what’s moving markets,https://www.investing.com/news/economy-news/nfps-ahead-this-week-as-possible-us-shutdown-looms--whats-moving-markets-4259711,Business,Neutral,U.S. stock futures are slightly increasing ahead of a week filled with important economic data releases. The week is expected to be eventful for the market.,1.2
Investors look past AI hype to long-term opportunities from government spending,https://www.investing.com/news/economy-news/investors-look-past-ai-hype-to-longterm-opportunities-from-government-spending-4259651,Technology,Neutral,Major investors are considering the future beyond the current AI boom. The article focuses on perspectives from these large investors.,1.03
Dovish BOJ policymaker sees rate hike need rising ’more than ever’,https://www.investing.com/news/economy-news/dovish-boj-policymaker-sees-rate-hike-need-rising-more-than-ever-4259634,Business,Neutral,"A Bank of Japan board member suggested the possibility of an interest rate hike, though the need remains unclear. This indicates potential shifts in the bank's monetary policy.",1.21
Take Five: The Final Countdown,https://www.investing.com/news/economy-news/take-five-the-final-countdown-4259600,Business,Neutral,Markets are preparing for the end of the year with key economic data expected from the U.S. and Japan. The article previews the upcoming releases and their potential impact.,1.26
"China’s factory activity likely slows again amid weak demand, trade tensions: Reuters poll",https://www.investing.com/news/economy-news/chinas-factory-activity-likely-slows-again-amid-weak-demand-trade-tensions-reuters-poll-4259479,Business,Negative,China's factory activity is likely to continue its decline for a sixth consecutive month in September. This ongoing contraction is fueling demands for increased government support.,1.16
Morning Bid: Who needs a government anyway?,https://www.investing.com/news/economy-news/morning-bid-who-needs-a-government-anyway-4259421,Business,Neutral,This article previews the outlook for European and global markets. It notes the current downward trend in Treasury yields and the dollar.,1.08
Thailand’s new PM outlines policies to parliament amid economic challenges,https://www.investing.com/news/economy-news/thailands-new-pm-outlines-policies-to-parliament-amid-economic-challenges-4259417,Politics,Neutral,Thai Prime Minister Anutin Charnvirakul presented his government's policy agenda to parliament on Monday. The announcement detailed the administration's planned initiatives.,1.18
"RBA preview Sept: rates on hold amid sticky inflation, Bullock comments awaited",https://www.investing.com/news/economy-news/rba-preview-sept-rates-on-hold-amid-sticky-inflation-bullock-comments-awaited-4259415,Business,Neutral,The Reserve Bank of Australia is anticipated to maintain its current interest rates following a scheduled meeting. This decision is widely expected by financial analysts.,1.11
Analysis-BOJ board’s hawkish flex lowers bar for an October rate hike,https://www.investing.com/news/economy-news/analysisboj-boards-hawkish-flex-lowers-bar-for-an-october-rate-hike-4259399,Business,Neutral,"A recent Bank of Japan policy meeting saw a divided board, suggesting increased pressure on monetary policy. The split highlights differing opinions within the central bank.",1.15
"RBI expected to hold policy rate, but surprise cut possible",https://www.investing.com/news/economy-news/rbi-expected-to-hold-policy-rate-but-surprise-cut-possible-4259406,Business,Neutral,The Reserve Bank of India is anticipated to maintain its key policy rate at 5.50% during a Wednesday meeting. This signals a likely pause in monetary policy adjustments.,1.24
Trump considering electronics tariffs based on chip content- Reuters,https://www.investing.com/news/economy-news/trump-considering-electronics-tariffs-based-on-chip-content-reuters-4259401,Business,Neutral,The Trump administration is reportedly considering tariffs on electronic devices based on chip usage. This potential policy change could impact the electronics industry.,1.07
"UK job postings fall, firms downbeat about outlook, surveys show",https://www.investing.com/news/economy-news/uk-job-postings-fall-firms-downbeat-about-outlook-surveys-show-4259392,Business,Negative,"Britain's labor market is showing signs of cooling, and businesses are expressing negative sentiment. This suggests a potential slowdown in economic activity.",1.11
